t_s,T_mean_K
0.0,293.0
0.0,293.0
1.0,293.0
2.0,293.0
3.0,293.0
4.0,293.0
5.0,293.0
6.0,293.0
7.0,293.0
8.0,293.0
9.0,293.0
10.0,293.0
11.0,293.073
12.0,293.1797
13.0,293.3039
14.0,293.4708
15.0,293.7074
16.0,293.9359
17.0,294.1594
18.0,294.3893
19.0,294.6224
20.0,294.851
21.0,295.0848
22.0,295.3179
23.0,295.552
24.0,295.7786
25.0,296.01
26.0,296.2344
27.0,296.4761
28.0,296.7053
29.0,296.9283
30.0,297.162
31.0,297.4015
32.0,297.6139
33.0,297.8619
34.0,298.0858
35.0,298.3089
36.0,298.5321
37.0,298.7581
38.0,298.9858
39.0,299.2144
40.0,299.4424
41.0,299.6712
42.0,299.8759
43.0,300.0971
44.0,300.3186
45.0,300.5144
46.0,300.7303
47.0,300.9426
48.0,301.1519
